#{"t_start": 1537442773.723104, "env_id": "Planar-direction-v1"}
r,l,t
96.466712,1024,13323.096996
96.197615,1024,13350.473742
95.001448,1024,13379.206157
95.506551,1024,13406.912731
96.868401,1024,13435.530817
93.24343,1024,13464.031453
91.443141,1024,13492.753883
94.092775,1024,13520.240828
96.438697,1024,13548.933164
94.446291,1024,13576.895897
94.778913,1024,13605.494629
92.845085,1024,13632.905407
95.168902,1024,13661.629201
96.400909,1024,13689.603277
93.159381,1024,13718.064839
99.721849,1024,13746.139121
93.886653,1024,13775.313263
97.736949,1024,13802.462872
94.456295,1024,13831.893987
98.475361,1024,13863.694676
98.204794,1024,13892.098523
93.29122,1024,13918.838179
92.627149,1024,13946.834051
100.792904,1024,13973.35343
96.015555,1024,14000.981219
97.043369,1024,14027.718314
84.007178,1024,14055.213907
97.525419,1024,14082.160948
95.068245,1024,14110.149361
98.163159,1024,14137.038205
90.568285,1024,14165.309856
93.003785,1024,14193.252647
95.635636,1024,14224.166304
97.02112,1024,14252.880068
97.942365,1024,14281.26479
96.029161,1024,14311.779009
95.779217,1024,14342.197783
79.680991,1024,14371.87201
98.524715,1024,14405.855039
83.535175,1024,14436.820807
96.537856,1024,14470.081138
97.198592,1024,14502.955256
94.246085,1024,14535.753164
96.967394,1024,14564.825457
98.192534,1024,14594.020132
96.607539,1024,14622.398447
98.139523,1024,14652.902938
100.711024,1024,14680.600669
101.119061,1024,14710.853169
97.802965,1024,14738.849805
97.923469,1024,14768.876066
99.597501,1024,14797.716442
95.03046,1024,14826.435635
87.708293,1024,14855.586312
98.709626,1024,14884.497099
93.252811,1024,14911.895414
99.570232,1024,14942.619033
32.905524,585,14959.417532
97.064791,1024,14987.94585
98.800912,1024,15014.743847
58.068715,819,15038.7968
97.247868,1024,15066.219775
97.474064,1024,15095.77765
60.644897,842,15118.572396
99.221754,1024,15148.525677
98.150885,1024,15178.082861
54.906681,755,15198.114763
96.339241,1024,15225.838297
98.330867,1024,15252.856482
100.283711,1024,15280.704813
96.70483,1024,15307.929333
96.077068,1024,15335.687299
99.642558,1024,15362.699685
96.127675,1024,15391.432709
98.535911,1024,15418.623502
96.83648,1024,15447.117112
98.981092,1024,15474.030416
98.538294,1024,15501.772057
97.300064,1024,15528.906815
95.63182,1024,15556.990799
86.866692,1024,15584.114098
96.386902,1024,15614.777761
98.509061,1024,15645.05959
98.06673,1024,15674.661921
98.627052,1024,15703.817471
63.768434,845,15728.192808
97.042434,1024,15755.258163
97.012595,1024,15783.665027
81.955456,1024,15813.093063
99.605829,1024,15841.847256
97.222684,1024,15869.688846
99.789613,1024,15898.74143
97.051549,1024,15926.497632
97.14803,1024,15955.336092
95.373304,1024,15986.463257
96.871874,1024,16018.680944
96.97813,1024,16050.920977
101.667922,1024,16083.714199
94.058578,1024,16116.097309
98.763152,1024,16149.791822
99.41709,1024,16182.103078
36.126561,547,16200.838239
40.125976,665,16223.897118
99.072051,1024,16257.61502
73.679473,1016,16290.615592
95.28827,1024,16322.903432
101.637788,1024,16356.142646
100.111609,1024,16388.112348
99.260663,1024,16421.63421
81.479319,1024,16453.871958
72.824945,1024,16487.275314
94.506536,1024,16520.330891
94.362394,1024,16553.785619
98.351458,1024,16586.040196
99.177048,1024,16618.994153
94.8135,1024,16651.147544
97.450534,1024,16685.062925
98.1577,1024,16718.859589
97.811813,1024,16748.657281
101.202366,1024,16778.454269
95.047743,1024,16811.346608
99.368185,1024,16843.816113
98.299405,1024,16877.424434
96.826324,1024,16909.412003
97.534613,1024,16942.583976
99.030934,1024,16974.703677
97.809699,1024,17007.942089
98.089227,1024,17040.229411
96.252998,1024,17073.999667
98.559704,1024,17106.820225
75.174883,1024,17137.293301
12.19571,449,17150.649762
95.777194,1024,17180.518692
95.522224,1024,17208.758226
96.370529,1024,17238.190533
99.259311,1024,17269.698039
99.730886,1024,17302.351592
97.807468,1024,17334.489651
96.195339,1024,17367.671185
95.702745,1024,17400.297488
95.14317,1024,17433.902924
98.260821,1024,17466.424927
99.198823,1024,17499.511675
100.122987,1024,17532.232936
96.81153,1024,17565.301766
100.265264,1024,17597.807706
97.686859,1024,17631.772223
97.235,1024,17662.673165
99.580986,1024,17695.138486
98.193975,1024,17724.354937
99.53574,1024,17753.735591
98.880734,1024,17782.278151
98.144101,1024,17812.99995
92.659666,1024,17841.38808
100.547531,1024,17874.061722
99.570672,1024,17906.16643
95.053459,1024,17939.551392
97.617636,1024,17971.805093
99.756507,1024,18004.822862
98.859394,1024,18036.332367
100.290042,1024,18069.505659
100.668185,1024,18101.384647
99.849282,1024,18134.41316
100.457209,1024,18166.551768
101.024843,1024,18199.757678
99.994467,1024,18230.657513
100.659908,1024,18260.660637
97.780398,1024,18289.335356
71.653661,1024,18319.118749
99.765448,1024,18347.556442
97.362912,1024,18377.415504
98.554047,1024,18406.444743
100.010846,1024,18436.410889
97.826649,1024,18466.017415
88.749195,1024,18495.331564
100.526038,1024,18524.024354
99.162897,1024,18553.488185
99.140148,1024,18582.120834
98.335765,1024,18615.402523
42.121869,667,18636.046077
101.743811,1024,18666.506437
100.110158,1024,18697.996188
98.913213,1024,18727.243852
98.434982,1024,18757.653718
100.422202,1024,18786.826274
99.082919,1024,18817.241958
100.247748,1024,18845.74716
99.139567,1024,18874.835237
101.20831,1024,18903.430826
97.304246,1024,18932.627355
95.955089,1024,18961.185683
91.862512,1024,18990.293038
100.644238,1024,19018.564693
102.628983,1024,19048.261807
98.984797,1024,19076.652005
100.305968,1024,19105.643197
100.039815,1024,19135.042235
98.466426,1024,19165.148594
98.874821,1024,19194.480945
98.665273,1024,19224.184286
96.549832,1024,19253.859867
99.403687,1024,19284.305395
100.882959,1024,19313.479263
101.294516,1024,19343.579816
100.433752,1024,19372.306122
100.206991,1024,19402.823628
99.554476,1024,19431.761801
100.08517,1024,19462.42252
98.962018,1024,19491.95943
98.812334,1024,19522.032951
98.016368,1024,19551.195691
101.503677,1024,19581.255242
98.565246,1024,19610.456453
98.352909,1024,19640.515267
98.853479,1024,19669.677011
97.444136,1024,19699.666611
99.134482,1024,19730.334798
101.672187,1024,19764.455447
97.277676,1024,19793.711832
99.667397,1024,19824.594139
97.401368,1024,19854.875913
97.991553,1024,19884.846507
91.631607,1024,19913.403056
48.443379,719,19938.178622
100.259313,1024,19969.791483
101.544244,1024,20002.821755
99.489649,1024,20034.370813
97.185867,1024,20066.717583
96.574647,1024,20097.724002
99.479516,1024,20128.11171
98.311389,1024,20156.599712
98.768828,1024,20189.585194
102.825349,1024,20220.031175
101.500946,1024,20248.924097
99.852181,1024,20276.821819
34.143202,533,20292.236598
97.599634,1024,20322.116952
98.469969,1024,20350.839955
96.88547,1024,20380.241649
98.906115,1024,20408.896395
101.17765,1024,20438.064022
102.203126,1024,20466.284784
101.50202,1024,20495.804404
101.820205,1024,20524.690183
99.9047,1024,20555.800534
100.054573,1024,20584.487093
102.4044,1024,20614.26282
100.84496,1024,20643.614118
99.795449,1024,20673.787584
99.902762,1024,20702.569614
101.310063,1024,20734.263938
99.690187,1024,20766.296385
21.880477,417,20782.063744
100.445206,1024,20811.684892
101.163856,1024,20842.516159
101.732752,1024,20870.846397
101.775641,1024,20900.414127
100.337177,1024,20928.764872
100.955014,1024,20958.142415
98.479949,1024,20986.437775
100.641532,1024,21015.854822
102.074667,1024,21044.732966
101.893685,1024,21073.774436
102.481031,1024,21101.97293
100.877053,1024,21131.708689
101.673108,1024,21160.853207
100.921548,1024,21191.431842
92.623197,1024,21220.850982
103.823035,1024,21251.192064
101.763109,1024,21281.618971
100.932812,1024,21312.449591
99.206508,1024,21345.775239
100.572036,1024,21378.901604
84.82465,1024,21410.52774
102.052482,1024,21440.213333
99.495215,1024,21469.214416
101.196501,1024,21499.069496
100.941285,1024,21528.243631
101.755608,1024,21558.377472
100.201511,1024,21588.824799
100.468663,1024,21620.590064
100.839849,1024,21648.948743
101.236449,1024,21677.867126
100.178353,1024,21706.969673
100.292432,1024,21737.077618
99.363321,1024,21767.835468
102.956253,1024,21796.892721
102.586037,1024,21825.200466
100.851912,1024,21853.893985
100.52683,1024,21881.799221
99.703587,1024,21910.464066
101.2535,1024,21938.875473
103.448586,1024,21968.386158
99.946434,1024,21996.673929
100.152592,1024,22025.79661
101.9321,1024,22054.230342
102.346245,1024,22082.986613
102.640907,1024,22110.796477
101.983531,1024,22140.141594
101.217188,1024,22169.186181
100.528784,1024,22199.105701
103.150689,1024,22227.980445
54.984553,787,22251.840847
103.212379,1024,22280.588025
59.10975,767,22303.053454
101.584633,1024,22333.592205
99.948174,1024,22362.342481
102.963122,1024,22392.087536
103.28609,1024,22420.854074
102.966126,1024,22450.420685
99.310889,1024,22479.457847
105.112243,1024,22509.407784
100.550944,1024,22537.951331
102.263218,1024,22567.64587
103.376138,1024,22596.561882
104.819616,1024,22626.460737
104.905233,1024,22655.190871
101.223106,1024,22685.030675
103.570122,1024,22713.693152
101.75524,1024,22743.263218
99.273049,1024,22772.116583
103.245423,1024,22802.032608
104.293926,1024,22830.913593
104.401049,1024,22860.675683
104.336245,1024,22889.305143
39.996428,657,22909.549316
103.420474,1024,22938.109403
104.365223,1024,22967.895892
103.387944,1024,22997.178641
102.201578,1024,23027.082241
103.897433,1024,23056.000337
104.946582,1024,23085.98092
101.921731,1024,23114.529768
93.425246,1024,23144.391886
100.700145,1024,23173.501022
103.395647,1024,23203.217455
97.185472,1024,23231.866117
99.209239,1024,23261.823199
101.629406,1024,23290.531263
99.3356,1024,23320.431267
103.649924,1024,23349.413235
104.387034,1024,23379.887442
101.711299,1024,23408.529272
102.347266,1024,23438.081
99.265871,1024,23466.86456
102.645995,1024,23496.452205
103.652347,1024,23525.008112
99.187627,1024,23554.424263
100.066422,1024,23583.232487
98.384652,1024,23613.330573
102.034929,1024,23642.485016
102.126299,1024,23672.317427
54.638362,804,23695.200917
103.300265,1024,23725.100464
61.776244,867,23749.857876
100.798218,1024,23779.61587
60.410113,806,23802.845554
103.91457,1024,23831.415153
102.154203,1024,23860.92545
101.14525,1024,23889.665273
102.524268,1024,23919.407719
101.627717,1024,23948.156031
103.09979,1024,23978.087599
101.703299,1024,24006.593695
103.329826,1024,24036.250241
104.175793,1024,24065.206182
105.90895,1024,24095.163389
56.874661,763,24117.088242
100.765382,1024,24146.518104
51.986317,730,24167.402404
100.595761,1024,24197.309111
92.993812,1024,24226.016551
100.823096,1024,24255.828989
104.071256,1024,24284.249173
